x,y,y_clean,split
-1.4,-3.744937133495237,-3.6055999999999995,train
-1.3717171717171717,-3.473006316446543,-3.440355297490773,test
-1.3434343434343434,-3.4931650250778388,-3.2801098424300137,train
-1.315151515151515,-3.0308546562546708,-3.1247754013968883,train
-1.2868686868686867,-3.0831805067000277,-2.974263740970566,train
-1.2585858585858585,-2.84376666426973,-2.8284866277302143,train
-1.2303030303030302,-2.629956296657567,-2.6873558282550016,train
-1.202020202020202,-2.537782821373541,-2.5507831091240947,train
-1.1737373737373737,-2.4960590810251637,-2.4186802369166616,train
-1.1454545454545455,-2.18860763217918,-2.290958978211871,train
-1.117171717171717,-2.1796442380047676,-2.167531099588889,train
-1.0888888888888888,-2.0952340920167,-2.048308367626886,train
-1.0606060606060606,-2.0109608486889763,-1.9332025489050282,train
-1.0323232323232323,-1.9489693557552692,-1.8221254100024837,test
-1.004040404040404,-1.6232950060028475,-1.7149887174984209,train
-0.9757575757575757,-1.6892285718564573,-1.6117042379720063,train
-0.9474747474747474,-1.519480652289673,-1.5121837380024092,train
-0.9191919191919191,-1.5584564184473537,-1.4163389841687972,train
-0.8909090909090909,-1.3516045998791468,-1.3240817430503378,train
-0.8626262626262625,-1.0756238354420278,-1.235323781226199,train
-0.8343434343434343,-1.271572863255097,-1.1499768652755489,train
-0.806060606060606,-1.0589838461189138,-1.067952761777555,train
-0.7777777777777777,-1.059903160123707,-0.9891632373113852,train
-0.7494949494949494,-0.8221733071116443,-0.9135200584562075,train
-0.7212121212121212,-0.6758897231707232,-0.8409349917911901,test
-0.6929292929292928,-0.6293017724348149,-0.7713198038955,train
-0.6646464646464646,-0.8417771535813758,-0.7045862613483058,train
-0.6363636363636364,-0.5811034932052465,-0.6406461307287753,train
-0.608080808080808,-0.7519684439244457,-0.5794111786160759,train
-0.5797979797979798,-0.645268111694453,-0.5207931715893759,train
-0.5515151515151515,-0.44056113954497206,-0.46470387622784315,train
-0.5232323232323232,-0.38059699963122456,-0.4110550591106451,train
-0.4949494949494949,-0.37289281064778634,-0.3597584868169502,test
-0.4666666666666667,-0.3007420938820935,-0.31072592592592596,train
-0.4383838383838383,-0.21929857560716426,-0.26386914301674014,train
-0.4101010101010101,-0.32294703702926175,-0.21909990466856089,test
-0.38181818181818183,-0.12054970382594762,-0.17632997746055595,test
-0.3535353535353536,-0.21470963940331583,-0.1354711279718933,train
-0.3252525252525251,-0.07413085146217785,-0.09643512278174027,train
-0.2969696969696969,0.04152976143324194,-0.05913372846926551,train
-0.26868686868686864,0.05039335126861359,-0.02347871161363657,train
-0.2404040404040404,-0.005014749323980907,0.010618161205978804,test
-0.21212121212121215,-0.007303454582957135,0.043245123410412645,test
-0.1838383838383839,0.12549663745912737,0.07449040842049712,train
-0.15555555555555545,0.20626632968900271,0.10444224965706458,train
-0.1272727272727272,0.10503624567276422,0.13318888054094674,train
-0.09898989898989896,0.20149930316255316,0.1608185344929759,train
-0.07070707070707072,0.10437149221840707,0.18741944493398427,test
-0.042424242424242475,0.2730106438875993,0.21307984528480392,train
-0.014141414141414232,0.33473558874178505,0.23788796896626702,train
0.014141414141414232,0.1807198837510588,0.2619320493992059,test
0.042424242424242475,0.40106461565524276,0.28530032000445227,test
0.07070707070707072,0.18926805098984043,0.3080810142028385,test
0.09898989898989896,0.2675450185492775,0.3303623654151967,train
0.1272727272727272,0.1538853743388668,0.35223260706235904,train
0.15555555555555545,0.34053946334983437,0.37377997256515766,train
0.1838383838383839,0.36907381530621913,0.3950926953444248,test
0.21212121212121215,0.5196916638784473,0.4162590088209923,train
0.2404040404040404,0.4885471756964206,0.43736714641569246,test
0.26868686868686864,0.3810164799758772,0.4585053415493574,train
0.2969696969696969,0.48469875359777753,0.47976182764281927,train
0.3252525252525251,0.4422070673755926,0.5012248381169102,train
0.3535353535353536,0.43815263734540244,0.5229826063924625,train
0.38181818181818183,0.6049333455816794,0.5451233658903081,train
0.4101010101010101,0.453907664339782,0.567735350031279,train
0.4383838383838383,0.6255359135226295,0.5909067922362076,test
0.46666666666666656,0.5468179743934802,0.6147259259259258,train
0.49494949494949503,0.7384275963012639,0.6392809845212661,train
0.5232323232323233,0.5922702053401496,0.6646602014430604,train
0.5515151515151515,0.6370225383780896,0.6909518101121406,train
0.5797979797979798,0.6926248114155701,0.7182440439493393,train
0.6080808080808082,0.7658164064032176,0.7466251363754884,train
0.6363636363636362,0.8551096998419563,0.7761833208114198,train
0.6646464646464647,0.8129820815671117,0.8070068306779663,train
