x,y,y_clean,split
-1.0,-2.1771462190184176,-2.2,test
-0.9797979797979798,-2.2406250705943,-2.1626262626262625,train
-0.9595959595959596,-2.068968685567041,-2.125252525252525,test
-0.9393939393939394,-2.017336434149447,-2.087878787878788,train
-0.9191919191919192,-2.196832689654088,-2.0505050505050506,test
-0.898989898989899,-2.1107947761459873,-2.0131313131313133,test
-0.8787878787878788,-1.9661695455200292,-1.9757575757575756,train
-0.8585858585858586,-1.962102032809607,-1.9383838383838383,train
-0.8383838383838383,-1.9022701878229227,-1.901010101010101,train
-0.8181818181818181,-1.9276146582043823,-1.8636363636363638,test
-0.797979797979798,-1.7603077781479144,-1.8262626262626265,train
-0.7777777777777778,-1.7305544937317177,-1.7888888888888888,train
-0.7575757575757576,-1.7465628491980603,-1.7515151515151515,train
-0.7373737373737373,-1.6295983236188116,-1.7141414141414142,test
-0.7171717171717171,-1.6417044760987736,-1.676767676767677,train
-0.696969696969697,-1.7038408741101825,-1.6393939393939396,train
-0.6767676767676767,-1.5743638932140145,-1.602020202020202,train
-0.6565656565656566,-1.6365626597086396,-1.5646464646464646,train
-0.6363636363636364,-1.4613889546746819,-1.5272727272727273,train
-0.6161616161616161,-1.4936434332229591,-1.48989898989899,train
-0.5959595959595959,-1.466389929791147,-1.4525252525252523,train
-0.5757575757575757,-1.4662212309818106,-1.415151515151515,test
-0.5555555555555556,-1.2860871773772256,-1.3777777777777778,train
-0.5353535353535352,-1.3519937515592004,-1.3404040404040403,test
-0.5151515151515151,-1.335154889692536,-1.303030303030303,train
-0.4949494949494949,-1.2920665819431827,-1.2656565656565655,train
-0.4747474747474747,-1.1883596393663272,-1.2282828282828282,train
-0.4545454545454545,-1.163500786081785,-1.190909090909091,test
-0.43434343434343425,-1.1225804076656543,-1.1535353535353534,train
-0.41414141414141414,-1.083850040936025,-1.1161616161616161,train
-0.3939393939393939,-0.918164308722594,-1.0787878787878786,train
-0.3737373737373737,-1.0718952676429876,-1.0414141414141413,train
-0.3535353535353535,-1.0424586087207695,-1.004040404040404,test
-0.33333333333333326,-1.0276996212852574,-0.9666666666666666,train
-0.31313131313131304,-0.883094472599767,-0.9292929292929292,train
-0.2929292929292928,-0.8072462699651248,-0.8919191919191917,train
-0.2727272727272727,-0.8630915138695702,-0.8545454545454545,train
-0.2525252525252525,-0.8801834529439068,-0.8171717171717171,train
-0.23232323232323226,-0.8416340709748227,-0.7797979797979797,train
-0.21212121212121204,-0.6936297833373897,-0.7424242424242422,train
-0.19191919191919182,-0.6493064422102468,-0.7050505050505049,train
-0.1717171717171716,-0.6269401975538778,-0.6676767676767674,test
-0.1515151515151515,-0.6802162583496824,-0.6303030303030303,train
-0.13131313131313127,-0.5755171936992889,-0.5929292929292929,train
-0.11111111111111105,-0.5468041198700009,-0.5555555555555555,train
-0.09090909090909083,-0.5017801734271421,-0.5181818181818181,train
-0.07070707070707061,-0.41545092246196635,-0.4808080808080806,train
-0.050505050505050386,-0.426664677276242,-0.4434343434343432,train
-0.030303030303030276,-0.3551420888302139,-0.406060606060606,test
-0.010101010101010055,-0.3636184384752017,-0.36868686868686856,train
0.010101010101010166,-0.3096291764113824,-0.33131313131313117,train
0.030303030303030498,-0.24659277700150303,-0.29393939393939356,train
0.05050505050505061,-0.36585234305483133,-0.25656565656565633,test
0.07070707070707072,-0.24316726041871672,-0.21919191919191913,train
0.09090909090909105,-0.21709613089014118,-0.18181818181818152,train
0.11111111111111116,-0.19236028306269495,-0.14444444444444432,train
0.1313131313131315,-0.12770637591270798,-0.1070707070707067,train
0.1515151515151516,0.04242362864561021,-0.06969696969696948,train
0.1717171717171717,-0.09726056600022555,-0.03232323232323231,train
0.19191919191919204,0.07767138164486637,0.005050505050505305,test
0.21212121212121215,-0.08379099044694283,0.04242424242424253,train
0.2323232323232325,0.05468160254904703,0.07979797979798015,train
0.2525252525252526,0.1293781970545928,0.11717171717171737,train
0.27272727272727293,0.19851212939740084,0.15454545454545499,train
0.29292929292929304,0.24526118540365627,0.19191919191919216,train
0.31313131313131315,0.2887939719329237,0.22929292929292933,train
0.3333333333333335,0.2405122862480341,0.26666666666666694,test
0.3535353535353536,0.26936401959056167,0.3040404040404042,test
0.3737373737373739,0.40576233250842836,0.34141414141414184,train
0.39393939393939403,0.36444005442175786,0.378787878787879,test
0.41414141414141437,0.3204851419112725,0.4161616161616166,train
0.4343434343434345,0.36853881248509274,0.4535353535353538,train
0.4545454545454546,0.42195016945897024,0.4909090909090911,test
0.4747474747474749,0.565569884086861,0.5282828282828287,train
0.49494949494949503,0.5763384958618583,0.5656565656565659,train
0.5151515151515154,0.6548167045853861,0.6030303030303035,train
0.5353535353535355,0.6083600919288006,0.6404040404040406,train
0.5555555555555556,0.6896682546085315,0.6777777777777779,train
0.5757575757575759,0.7620707946990657,0.7151515151515154,train
0.595959595959596,0.7293242620462348,0.7525252525252527,train
0.6161616161616164,0.8241571327157963,0.7898989898989904,train
0.6363636363636365,0.7776282816927287,0.8272727272727275,test
0.6565656565656568,0.8374174261540849,0.8646464646464652,train
0.6767676767676769,0.8733898599703276,0.9020202020202023,test
0.696969696969697,0.8497059659747616,0.9393939393939396,train
0.7171717171717173,1.013290612826596,0.9767676767676773,train
0.7373737373737375,0.9789362386262102,1.0141414141414145,train
0.7575757575757578,1.0524522104197287,1.0515151515151522,train
0.7777777777777779,1.1249448883068323,1.088888888888889,train
0.7979797979797982,1.1597524644648725,1.1262626262626267,train
0.8181818181818183,1.213540246809323,1.163636363636364,train
0.8383838383838385,1.1936236896718946,1.2010101010101013,train
0.8585858585858588,1.2066364649805275,1.238383838383839,train
0.8787878787878789,1.2697787099395959,1.2757575757575759,train
0.8989898989898992,1.1865812305844614,1.3131313131313136,train
0.9191919191919193,1.2419716150733193,1.3505050505050509,train
0.9393939393939394,1.288676316952208,1.3878787878787882,train
0.9595959595959598,1.3504590131824148,1.4252525252525259,train
0.9797979797979799,1.4926093296305205,1.4626262626262627,train
1.0,1.4320890708479954,1.5,train
